R,n,tick,loss,throughput
500000.0,500,0.0001,0.8038445000000001,9787.979
500000.0,500,0.0005,0.8038445000000001,9787.979
500000.0,500,0.001,0.8038445000000001,9787.979
500000.0,500,0.005,0.8098905,9486.1455
500000.0,1000,0.0001,0.62375,28218.3295
500000.0,1000,0.0005,0.62375,28218.3295
500000.0,1000,0.001,0.62375,28218.3295
500000.0,1000,0.005,0.635599,27174.972999999998
500000.0,1500,0.0001,0.463465,53673.552500000005
500000.0,1500,0.0005,0.463465,53673.552500000005
500000.0,1500,0.001,0.463465,53673.552500000005
500000.0,1500,0.005,0.47756050000000005,51830.188
500000.0,2000,0.0001,0.3313585,83401.32149999999
500000.0,2000,0.0005,0.3313585,83401.32149999999
500000.0,2000,0.001,0.3313585,83401.32149999999
500000.0,2000,0.005,0.34405949999999996,81103.321
500000.0,2500,0.0001,0.0,149820.965
500000.0,2500,0.0005,0.0,149820.965
500000.0,2500,0.001,0.0,149820.965
500000.0,2500,0.005,0.0,149820.965
1000000.0,500,0.0001,0.8020419999999999,9876.54
1000000.0,500,0.0005,0.8020419999999999,9876.54
1000000.0,500,0.001,0.802577,9850.8135
1000000.0,500,0.005,0.8096215,9499.9205
1000000.0,1000,0.0001,0.612289,29088.865
1000000.0,1000,0.0005,0.612289,29088.865
1000000.0,1000,0.001,0.6126985,29047.799
1000000.0,1000,0.005,0.631862,27415.4345
1000000.0,1500,0.0001,0.433278,56609.432499999995
1000000.0,1500,0.0005,0.433278,56609.432499999995
1000000.0,1500,0.001,0.43372900000000003,56534.3025
1000000.0,1500,0.005,0.4636905,52989.8825
1000000.0,2000,0.0001,0.27105650000000003,90833.864
1000000.0,2000,0.0005,0.27105650000000003,90833.864
1000000.0,2000,0.001,0.271448,90731.80799999999
1000000.0,2000,0.005,0.310224,84592.138
1000000.0,2500,0.0001,0.0,149821.1895
1000000.0,2500,0.0005,0.0,149821.1895
1000000.0,2500,0.001,0.0,149821.1895
1000000.0,2500,0.005,0.0,149821.1895
2000000.0,500,0.0001,0.801016,9927.8145
2000000.0,500,0.0005,0.8012985,9914.1315
2000000.0,500,0.001,0.8022275,9867.873
2000000.0,500,0.005,0.8095545,9503.0455
2000000.0,1000,0.0001,0.606371,29532.343500000003
2000000.0,1000,0.0005,0.6066155,29509.656
2000000.0,1000,0.001,0.6085245,29338.911999999997
2000000.0,1000,0.005,0.6304965,27499.188000000002
2000000.0,1500,0.0001,0.4162845,58264.748
2000000.0,1500,0.0005,0.416485,58236.971999999994
2000000.0,1500,0.001,0.4186955,57946.731
2000000.0,1500,0.005,0.45878450000000004,53351.83500000001
2000000.0,2000,0.0001,0.236471,95032.6385
2000000.0,2000,0.0005,0.236715,94970.3645
2000000.0,2000,0.001,0.238675,94597.533
2000000.0,2000,0.005,0.29774900000000004,85736.054
2000000.0,2500,0.0001,0.0,149821.3015
2000000.0,2500,0.0005,0.0,149821.3015
2000000.0,2500,0.001,0.0,149821.3015
2000000.0,2500,0.005,0.0,149821.3015
